raw_comment,normalize_comment,emoji_decode
"Kính đẹp xinh xắn, giống với hình. Chất liệu khá oke, được đóng gói chắc chắn. Được shop kèm thêm túi da rất ưng. Giá thành lại rẻ nữa chứ... 😍😍 Nhân tiện shop có cái nón bò sữa mua kèm cũng rất xinh. Haha",kính đẹp xinh xắn giống hình chất liệu khá ok được đóng gói chắc chắn được kèm thêm túi da rất ưng giá thành rẻ chứ nhân tiện có cái nón bò sữa mua kèm cũng rất xinh,heart_eyes heart_eyes
"em đặt đôi khuyên tai mà một bên chốt nó bị hỏng:((
còn dây chuyền đẹp lắm ạ❣️",em đặt đôi khuyên tai mà một bên chốt hỏng còn dây chuyền đẹp lắm,heavy_heart_exclamation
Quần xinh xỉu luôn ấ 🥰,quần xinh xỉu luôn,smiling_face_with_three_hearts
"Hàng quốc tế khoảng 1 tuần là nhận được, dây chuyền đeo xinh lắm luôn nha😍",hàng quốc tế khoảng tuần là nhận được dây chuyền đeo xinh lắm luôn,heart_eyes
"🌸Heybi Shop🌸
Tạo nên điểm nhấn cho bạn bằng những chiếc khuyên tai xinh xắn
💭💭💭💭💭
Ngoài ra chúng mình còn có một số phụ kiện xinh xắn như: túi tote, tất, móc chìa khoá...
Khách cũ gửi ảnh fback giảm ngay 5% tổng bill",tạo nên điểm nhấn cho bạn bằng những chiếc khuyên tai xinh xắn ngoài ra chúng còn có một số phụ kiện xinh xắn như túi tote tất móc chìa khoá khách cũ gửi ảnh giảm ngay tổng,thought_balloon thought_balloon thought_balloon thought_balloon thought_balloon cherry_blossom cherry_blossom
Sp tây 👍,sản phẩm tây,thumbsup
"Đã nhận được hàng nhưng không tiện chụp nên lấy tạm ảnh này 😅 xinh xắn lắm ạ, lần sau sẽ ủng hộ tiếp 🙆‍♀️🙆‍♀️🙆‍♀️",nhận được hàng nhưng không tiện chụp nên lấy tạm ảnh xinh xắn lắm lần sau sẽ ủng hộ tiếp,sweat_smile ok_woman ok_woman ok_woman
Đóng gói cẩn thận. Giao hàg nhanh. Cọ rất mềm mà mịn ❤️❤️❤️❤️❤️❤️,đóng gói cẩn thận giao nhanh cọ rất mềm mà mịn,heart heart heart heart heart heart
"Sản phẩm đẹp xuất sắc 😃 lớp vải dày, chắc chắn nhưng trọng lượng rất nhẹ. Đường may tinh tế. Thật trình muốn góp ý thêm cho sản phẩm cũng ko biết góp gì thêm.",sản phẩm đẹp xuất sắc lớp vải dày chắc chắn nhưng trọng lượng rất nhẹ đường may tinh tế thật trình muốn góp ý thêm cho sản phẩm cũng không biết góp gì thêm,smiley
"Giao hàng nhanh, đúng size, đúng màu. Cám ơn shop nhiều nhé. 😃",giao hàng nhanh đúng size đúng màu cám ơn nhiều nhé,smiley
"Thật sự rất đáng tiền, chỉ có 100k mà đẹp xuất sắc 
Thời gian giao hàng lại rất nhanh nữa
Ưng ý ghê dị á lần sau sẽ ủng hộ shop tiếp ❤️",thật sự rất đáng tiền chỉ có không mà đẹp xuất sắc thời gian giao hàng rất nhanh ưng ý ghê dị á lần sau sẽ ủng hộ tiếp,heart
"Shop chuẩn bị hàng nhanh, đóng gói cẩn thận. Bên vận chuyển cũng rất nhanh nhẹn. Tiện thể khoe luôn là nhà mình bán sweatblock ngăn mồ hôi và khử mùi cho nách, tay, chân nha mọi ng 😀áo đc tặng kèm đơn, vải ok",chuẩn hàng nhanh đóng gói cẩn thận bên vận chuyển cũng rất nhanh nhẹn tiện thể khoe luôn là nhà bán ngăn mồ hôi khử mùi cho nách tay chân mọi áo được tặng kèm đơn vải ok,grinning
Đặt 2 chiếc khác nhau.1 rẻ hơn 1 đắt hơn nhưng shop giao 2 chiếc rẻ cùng loại🙂🙂🙂,đặt chiếc khác nhau rẻ hơn đắt hơn nhưng giao chiếc rẻ cùng loại,slightly_smiling_face slightly_smiling_face slightly_smiling_face
"Hàng của shop đẹp
Giá săn sale cực thích
Ship khá lâu vì hàng quốc tế 😘",hàng của đẹp giá săn sale cực thích ship khá lâu vì hàng quốc tế,kissing_heart
Túi to màu đẹp vải chắc chắn đó mọi người !! Có dịp sẽ quay lại ủng hộ thêm 👌🏻,túi to màu đẹp vải chắc chắn mọi người có dịp sẽ quay ủng hộ thêm,ok_hand
"Màu kh như hình đánh lên ra màu hồng ánh tím 😌
Hmmmmmmmmmmmmmmmmmmmmmm",màu không như hình đánh lên ra màu hồng ánh tím,relieved
"✅HẢI SẢN TƯƠI NGON - KHÔNG LO VỀ GIÁ

🥰CHỈ TỪ #250k ❌SHIP TỪ 9h➡️3h đêm🤩🤩

✅Cajun lousianna crawfish😋

MENU❌Ngon❌Lạ và liên tục được cập nhật các món siêu hot hít

---------------------------------------------------
BẾP NHÀ 1986 - Sum Họp | Gắn Kết | Ăn Ngon
🕋 Địa chỉ: 106D1 Đặng Văn Ngữ - Đốn",hải sản tươi ngon không lo về giá chỉ từ không ship từ h h đêm menu ngon lạ liên tục được cập nhật các món siêu hot hít bếp nhà sum họp gắn kết ăn ngon địa chỉ d đặng văn ngữ đốn,white_check_mark white_check_mark kaaba smiling_face_with_three_hearts arrow_right x x x yum star_struck star_struck
Áo giống hình xinh quá trời luôn á 🥺 mà bị cái chất này mng chỉ nên xếp lại bỏ tủ chứ treo sẽ dễ giãn ra đó,áo giống hình xinh quá trời luôn á mà cái chất mọi người chỉ nên xếp bỏ tủ chứ treo sẽ dễ giãn ra,pleading_face
"🌻🌻Muốn biết thế nào là mênh mông, hãy về đại ngàn Tây Nguyên
🌼Tour Tây Nguyên 4N3D
🌼Giá : 2.990.000 vnd
🌼Khởi hành : Thứ 5 hàng tuần
☎Liên hệ : 0394893287 Huyền",muốn biết nào là mênh mông hãy về đại ngàn tây nguyên tour tây nguyên n d giá khởi hành thứ hàng tuần liên hệ huyền,sunflower sunflower blossom blossom blossom
Quần rộng lắm nha nhưng đẹp zc 😍,quần rộng lắm nhưng đẹp,heart_eyes
Khuyên xinh giá rẻ shop giao nhanh.Nhưng không hiểu sao 1 đôi bị như ảnh😃??Cong hẳn cái chân khuyên,khuyên xinh giá rẻ giao nhanh nhưng không hiểu đôi như ảnh cong hẳn cái chân khuyên,smiley
Quần đep vải mát mua dc giá sale thích ghê sẽ ủng hộ shop nữa😄😄😄,quần đẹp vải mát mua được giá sale thích ghê sẽ ủng hộ,smile smile smile
"Áo trên đen sau trắng 😓 trông cứ bị nửa vời, chất cũng được, giao hàng cực lâu mặc dù đã liên hệ với shop để đẩy hàng cho kịp ngày tặng nhưng vẫn k giao 😒",áo trên đen sau trắng trông cứ nửa vời chất cũng được giao hàng cực lâu mặc dù liên hệ đẩy hàng cho kịp ngày tặng nhưng vẫn không giao,sweat unamused
"Chờiii ờia chời!!! Kẹp như nì seoo buộc tóc đc, méo mó lọ xọ, lại còn bé nữa chứ, rõ ràng là đặt loại to nữa🥲 đồ đều mình nch lại còn chặn nữa chứ",chời chời kẹp như nì seo buộc tóc được méo mó lọ xọ còn bé chứ rõ ràng là đặt loại to đồ đều còn chặn chứ,smiling_face_with_tear
Hàng đẹp🥰  nhưng giao lộn mẫu cho mình . Có bị xước phần giữa gọng,hàng đẹp nhưng giao lộn mẫu cho có xước phần giữa gọng,smiling_face_with_three_hearts
Đồ rất xinh rẻ mà chất lượng. Huhu hơi tiếc là mấy cái kẹp nhí bị gãy mất 1 xíu nhưng mình lấy keo dán lại nhìn lại như mới 🤣🤣🤣,đồ rất xinh rẻ mà chất lượng hơi tiếc là mấy cái kẹp nhí gãy mất xíu nhưng lấy keo dán nhìn như mới,rofl rofl rofl
Hàng ok chất vải xịn mà 45 kg mặc size s thì hơi chật 😢 mà hàng thì vẫn bình thường nha,hàng ok chất vải xịn mà kg mặc size s hơi chật mà hàng vẫn bình thường,cry
"🌻Những giọt nắng tháng 3 đang dần vụt tắt, hơi thở dịu dàng cuối cùng của mùa xuân🌼 cũng theo gió bay đi. 

Hà Nội hôm nay nắng lắm 🌞, nghe dự báo thời tiết nói rằng 31 độ C🔥. Cả nhà nhớ giữ gìn sức khỏe và nếu có ra đường thì cũng đừng để bị “cảm nắng” nha…

🌻Cuối tháng 3 là lúc để anh em cùng",những giọt nắng tháng đang dần vụt tắt hơi thở dịu dàng cuối cùng của mùa xuân cũng theo gió bay đi hà nội hôm nay nắng lắm nghe dự báo thời tiết nói rằng độ c cả nhà nhớ giữ gìn sức nếu có ra đường cũng đừng cảm nắng cuối tháng là lúc anh em cùng,fire sun_with_face sunflower sunflower blossom
"Áo rộng quá siêu rộng luôn , vải 2 lớp nhưng mà vẫn mỏng manh quá 😅. Mk giặt áo còn bị phai màu cơ buồn ghê . Hơi thất vọng nên chỉ cho 3* thôi",áo rộng quá siêu rộng luôn vải lớp nhưng mà vẫn mỏng manh quá giặt áo còn phai màu cơ buồn ghê hơi thất vọng nên chỉ cho,sweat_smile
"Vải mỏng mát, chất lượng ok so với giá 👌👌",vải mỏng mát chất lượng ok so giá,ok_hand ok_hand
Sản phẩm này rất tốt 👍 lần sau sẽ tiếp tục ủng hộ shop nhiều hơn nữa!,sản phẩm rất tốt lần sau sẽ tiếp tục ủng hộ nhiều hơn,thumbsup
"Shop đóng túi hàng không không có sản phẩm. Bán hàng k uy tín. Bóc hàng ra chỉ có cái túi k mà thất vọng.
😡😡😡😡😡😡😡😡😡😡😡",đóng túi hàng không không có sản phẩm bán hàng không uy tín bóc hàng ra chỉ có cái túi không mà thất vọng,pout pout pout pout pout pout pout pout pout pout pout
Đóng gói k thể tệ hơn 😂,đóng gói không thể tệ hơn,joy
"Đóng gói đẹp, màu và chất quần vượt mong đợi. Đường chỉ đẹp, tầm giá tiền này quá ưng rồi. Shop nhiệt tình lắm, mọi người nhớ ủng hộ hộ shop nhé🤗",đóng gói đẹp màu chất quần vượt mong đợi đường chỉ đẹp tầm giá tiền quá ưng nhiệt tình lắm mọi người nhớ ủng hộ hộ nhé,hugs
"Áo đẹp vải dày dặn đúng với như trong live sẽ ủng hộ tiếp 
❤️❤️❤️❤️❤️",áo đẹp vải dày dặn đúng như trong live sẽ ủng hộ tiếp,heart heart heart heart heart
áo rất đẹp mình thích lắmmmmmm ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️lười chụp hình mình lấy đỡ hình này hi,áo rất đẹp thích lắm lười chụp hình lấy đỡ hình hi,heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart
Kém chất lượng t2 là giao hàng ko đúng với yêu cần của tôi khi mua tôi rất bực 😡😡😡,kém chất lượng là giao hàng không đúng yêu cần của mua rất bực,pout pout pout
Hàng đủ nhưng 1 dây đã bị lỗi 👀,hàng đủ nhưng dây lỗi,eyes
"Hàng đẹp, may chắc chắn, đáng đồng tiền, giao hàng nhanh ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️",hàng đẹp may chắc chắn đáng đồng tiền giao hàng nhanh,heart heart heart heart heart heart heart heart heart heart
Hàng chất lượng như hình  trừ điểm vì giao hàng lâu 😄😄😄😄😄😄😄😄😄😄😄😄,hàng chất lượng như hình trừ điểm vì giao hàng lâu,smile smile smile smile smile smile smile smile smile smile smile smile
"Rất đẹp và rất xịn luôn, sẽ quay lại thật nhiều lần nữa ♥️♥️♥️♥️♥️",rất đẹp rất xịn luôn sẽ quay thật nhiều lần,hearts hearts hearts hearts hearts
Như 1 đôi vớ ngoài đường nha hoàn toàn ko giống trong hình 😡😡,như đôi vớ ngoài đường hoàn toàn không giống trong hình,pout pout
Túi dơ ngay từ đầu nhận thì có thể bỏ qua.nhưng giặc ko ra thì t ko chắc 🙂,túi dơ ngay từ đầu nhận có thể bỏ qua nhưng giặc không ra không chắc,slightly_smiling_face
"2 váy còn lại chất vải cũng được, quần lót bên trong siêu mỏng, có như k có 😂. Riêng váy caro xám, k biết shop có làm rơi vào vũng nước nào k mà, cầm lên là thấy ẩm như ai mặc đi mưa về vậy, mùi mốc kinh khủng. Size các váy chênh lệch nhau khá nhiều
Shipper giao hàng quá thất vọng",váy còn chất vải cũng được quần lót bên trong siêu mỏng có như không có riêng váy xám không biết có làm rơi vào vũng nước nào không mà cầm lên là thấy ẩm như ai mặc đi mưa về mùi mốc kinh khủng size các váy chênh lệch nhau khá nhiều giao hàng quá thất vọng,joy
"Cho shop 10 sao vì sự chuyên nghiệp này luôn,ví xinh đa man,sẽ tiếp tục ủng hộ❤️❤️❤️",cho vì sự chuyên nghiệp luôn ví xinh đa man sẽ tiếp tục ủng hộ,heart heart heart
Giống hình sẽ ủng hộ shop lần sau 😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁,giống hình sẽ ủng hộ lần sau,grin grin grin grin grin grin grin grin grin grin grin grin grin grin grin grin grin grin grin grin grin grin grin grin grin grin grin grin grin grin grin
Hàng đẹp mà vì mua tặng nên mình chưa bóc ra nhưng nhìn ngoài thấy ok lắm nhà mình ai cũng khen đẹp 🤭🤭 nên mua nha các bạn ❤❤👏👏,hàng đẹp mà vì mua tặng nên chưa bóc ra nhưng nhìn ngoài thấy ok lắm nhà ai cũng khen đẹp nên mua các bạn,hand_over_mouth hand_over_mouth clap clap
"Shop Hoa tươi: Chuyên cung cấp hoa nhập khẩu
🌻- Hoa sự kiện, sinh nhật, chúc mừng, khai trương
🌼- Hoa hoa hội nghị, hoa cưới ;
🌷- Hoa chia buồn, tang lễ;
☘Địa chỉ:  188 Hồ Tùng Mậu
✔Giao hoa Miễn phí bán kính  3km, Quận Cầu Giấy.
✔Miễn phí biển chúc mừng, thiệp
✔Cam kết đúng mẫu mã, giao nhanh ch",hoa tươi chuyên cung cấp hoa nhập khẩu hoa sự kiện sinh nhật chúc mừng khai trương hoa hoa hội nghị hoa cưới hoa chia buồn tang lễ địa chỉ hồ tùng mậu giao hoa miễn phí bán kính km quận cầu giấy miễn phí biển chúc mừng thiệp cam kết đúng mẫu mã giao nhanh ch,sunflower blossom tulip
"Quần màu thì xấu khác trong ảnh, fom cũng xấu. Quần tệ nhất mình từng mua 🙂🙂",quần màu xấu khác trong ảnh form cũng xấu quần tệ nhất từng mua,slightly_smiling_face slightly_smiling_face
"áo tạm được...
quần thì như 💩...",áo tạm được quần như,shit
Chả nhận được qq gì cả 😂. Sửa lại 3* cho shop. Tự nhiên mất công săn deal tốn thêm 1k,chả nhận được q gì cả sửa cho tự nhiên mất công săn deal tốn thêm không,joy
Áo nhàu nát .....mặt ko đc.....😞😞😞😞😞,áo nhàu nát mặt không được,disappointed disappointed disappointed disappointed disappointed
Rách 1 lỗ mà vẫn giao cho được 😢,rách lỗ mà vẫn giao cho được,cry
"Áo đẹp, shop gói hàng cẩn thận, giao hàng nhanh ❤❤❤😘😘😘❤❤😘😘😘😘😘😘😘😘❤😘😘",áo đẹp gói hàng cẩn thận giao hàng nhanh,kissing_heart kissing_heart kissing_heart kissing_heart kissing_heart kissing_heart kissing_heart kissing_heart kissing_heart kissing_heart kissing_heart kissing_heart kissing_heart
Cái 9k đẹp hơn.Cái 9k kiểu bóng trông đẹp hơn vs mình thích kiểu ý.Cái màu trắng thích lắm shop.Vải mềm cực.Bh mình ủng hộ tiếp nhá😍,cái không đẹp hơn cái không kiểu bóng trông đẹp hơn thích kiểu ý cái màu trắng thích lắm vải mềm cực ủng hộ tiếp nhá,heart_eyes
Mũ xinh hihi chờ hàng hơi lâu tý nhưng nhận dk ưng lắm ạ ♥️♥️♥️mn nên mua nhá.... đội kiểu nào cũng xinh hết ấy 😘😘😘,mũ xinh chờ hàng hơi lâu tý nhưng nhận ưng lắm mọi người nên mua nhá đội kiểu nào cũng xinh hết ấy,kissing_heart kissing_heart kissing_heart hearts hearts hearts
"Thời gian giao hàng rất chậm !
Hàng giao đủ số lượng nhưng hình thức và chất lượng khác nhau hoàn toàn ko hề giống hàng mẫu ! Thất vọng toàn tập 😌",thời gian giao hàng rất chậm hàng giao đủ số lượng nhưng hình thức chất lượng khác nhau hoàn toàn không hề giống hàng mẫu thất vọng toàn tập,relieved
"Áo không biết là mới hay k á, nhưng mà có vết ố vàng ở vanhhhh áo 😣😣😣😣😣
Buồn lăms nhaaaaaaaaaaaa. Tại mình mua áo 2 cái mà cả 2 đều giống nhauuuu 😭
Thật sự trong bao nhiêu năm trời mua shoppe đây lần đầu tiên mình đánh giá 4 saoo á. 😭😭",áo không biết là mới hay không á nhưng mà có vết ố vàng ở vanh áo buồn tại mua áo cái mà cả đều giống nhau thật sự trong bao nhiêu năm trời mua đây lần đầu tiên đánh giá á,sob sob sob persevere persevere persevere persevere persevere
Da mềm êm rất đẹp nhé❤️cúc bấm cũng chắc chắn xịn xò nữa. Cám ơn shop nhiều❤️,da mềm êm rất đẹp nhé cúc bấm cũng chắc chắn xịn xò cám ơn nhiều,heart heart
"Áo đẹp và chất lượng, phù hợp với giá thành sản phẩm. 5⭐ cho shop nhé!",áo đẹp chất lượng phù hợp giá thành sản phẩm cho nhé,star
Hàng quá bé so với hình ảnh 🤣,hàng quá bé so hình ảnh,rofl
Hàng rẻ mà chất lượng lắm ạ xinh cực kì. Bao h sẽ ủng hộ shop thêm nx🥰🥰🥰,hàng rẻ mà chất lượng lắm xinh cực kì bao h sẽ ủng hộ thêm,smiling_face_with_three_hearts smiling_face_with_three_hearts smiling_face_with_three_hearts
"Chất lượng sp ổn.
Hợp với giá tiền.
Thời gian giao hàng nhanh🌺",chất lượng sản phẩm ổn hợp giá tiền thời gian giao hàng nhanh,hibiscus
"Hình ảnh ko liên quan nhưng mình đã nhận được áo của shop, mình đặt 2 cái nhưng shop gửi 2 cái 2 hãng khác nhau😥😥",hình ảnh không liên quan nhưng nhận được áo của đặt cái nhưng gửi cái hãng khác nhau,disappointed_relieved disappointed_relieved
"Về nhận áo mà bất ngờ, chất vải quá đẹp, không chê vào đâu được, áo thơm cực kì, với cái giá này mà hốt đc em áo ưng hết biết, chúc shop buôn may bán đắt ❤️😘",về nhận áo mà bất ngờ chất vải quá đẹp không chê vào được áo thơm cực kì cái giá mà hốt được em áo ưng hết biết chúc buôn may bán đắt,kissing_heart heart
Hàng đẹp và chắc chắn. Giá thành vừa phải. Se nủng hộ thêm nha 👌🏼👌🏼👌🏼👌🏼👌🏼,hàng đẹp chắc chắn giá thành vừa phải se nủng hộ thêm,ok_hand ok_hand ok_hand ok_hand ok_hand
"Màu lên chuẩn, mịn môi 👏🏻",màu lên chuẩn mịn môi,clap
Tất đẹp vải mềm mịn ok lắm luôn mua trúng dịp sale cho nên rẻ nữa🥰🥰🥰🥰,tất đẹp vải mềm mịn ok lắm luôn mua trúng dịp sale cho nên rẻ,smiling_face_with_three_hearts smiling_face_with_three_hearts smiling_face_with_three_hearts smiling_face_with_three_hearts
"Cảm thấy phản hồi về việc hoàn tiền khi giao không đủ hàng mà mất tiền oan. Mua 3 giao 2 mà đã tính tiền cả 3. Đợi hoàn tiền 2,3 ngày mà gần 1 tuần lễ không thấy đâu. Quá thất vọng, đánh giá 2⭐️",cảm thấy phản hồi về việc hoàn tiền giao không đủ hàng mà mất tiền oan mua giao mà tính tiền cả đợi hoàn tiền ngày mà gần tuần lễ không thấy quá thất vọng đánh giá,star
áo đẹp và chất lượng lắm ạ. Từng mua một lần ở shop này rồi lunn á. Sẽ ủng hộ shop dài dài 🤍,áo đẹp chất lượng lắm từng mua một lần ở luôn á sẽ ủng hộ dài dài,white_heart
"Mình đã mua áo của brand trước đó nhưng đợt áo gần tết như thế này làm mình thấy rất thất vọng.
Áo may hời hợt, cả chất vải đều tệ.
Cổ áo thực sự là chất áo mỏng và dễ bị dãn ra, áo mỏng và box ở trên là áo cũ và dưới là box mới
Trước mình mua là chất vải dày, rất xịn xò và cổ áo dày rất dày luôn 😞",mua áo của brand trước nhưng đợt áo gần tết như làm thấy rất thất vọng áo may hời hợt cả chất vải đều tệ cổ áo thực sự là chất áo mỏng dễ dãn ra áo mỏng box ở trên là áo cũ dưới là box mới trước mua là chất vải dày rất xịn xò cổ áo dày rất dày luôn,disappointed
Xỉu vì độ cute của chiếc quạt ạ tiếc là mình chỉ đặt 2c huhu😅😅 quạt nhỏ vừa tầm mát lắm nha hihịi đẹp quá ko lỡ quạt😭😭,xỉu vì độ cute của chiếc quạt tiếc là chỉ đặt c quạt nhỏ vừa tầm mát lắm đẹp quá không lỡ quạt,sweat_smile sweat_smile sob sob
Mua có 2 đôi khuyên tai cho mình và bạn. Thì một đôi ko có chốt thì đeo tn được😡😡. Đã thế shipper giao hàng thì ko thèm gọi trước. Cứ vứt vào cửa,mua có đôi khuyên tai cho bạn một đôi không có chốt đeo tn được giao hàng không thèm gọi trước cứ vứt vào cửa,pout pout
"😂😂😂😂 mua k biết bao nhiêu lần, lần này mua không có mã giảm giá gì hết hihi mong lần sau mua shop cho mình quà tết hehehe
cảm ơn shop nhé",mua không biết bao nhiêu lần lần mua không có mã giảm giá gì hết mong lần sau mua cho quà tết cảm ơn nhé,joy joy joy joy
Áo ngoài dự đoán luôn xinh xỉu mọi người ạ 🥺,áo ngoài dự đoán luôn xinh xỉu mọi người,pleading_face
Gút chóp nha 🥰,gút chóp,smiling_face_with_three_hearts
"Vải thun ko mát, vải bình thường. Ko có gì đặc sắc với giá 220k 😭 mua size to quá đổi lại size nhỏ cỡ 10 ngày mới nhận đc . Bán thì lẹ, đổi thì lâu.",vải thun không mát vải bình thường không có gì đặc sắc giá không mua size to quá đổi size nhỏ cỡ ngày mới nhận được bán lẹ đổi lâu,sob
"Chủ shop thân thiện, sp đóng gói chắc chắn. Set này xinh deso mặc mát lắm ns chung là ổn 😊",chủ thân thiện sản phẩm đóng gói chắc chắn set xinh mặc mát lắm nói chung là ổn,blush
Mua đợt 2 . Đồ đẹp ưng ta nhưng shipper hơi hài . 21h gọi ship hàng trong khi chọn ship giờ hành chính 😂,mua đợt đồ đẹp ưng ta nhưng hơi hài h gọi ship hàng trong chọn ship giờ hành chính,joy
"Hàng chất lượng 👍. Giao hàng nhanh 👍. Chất lượng mỗi áo thì khác nhau tại hai nhãn hiệu khác mà . Đen thì dày dặn okay ,trắng thì mỏng lét :'(( . Khắc phục nhé shop",hàng chất lượng giao hàng nhanh chất lượng mỗi áo khác nhau tại hai nhãn hiệu khác mà đen dày dặn okay trắng mỏng lét khắc phục nhé,thumbsup thumbsup
"Chất vải k đc mịn cho lắm, vải như vải làm từ ni lông mua về làm rẻ lau 😖",chất vải không được mịn cho lắm vải như vải làm từ ni lông mua về làm rẻ lau,confounded
"Móng đẹp lắm ,giao hàng nhanh mà mỗi tội kéo dán móng hình như có mùi keo 502.hic,😅",móng đẹp lắm giao hàng nhanh mà mỗi tội kéo dán móng hình như có mùi keo,sweat_smile
"Vải nóng , nhận áo có mùi hôi kinh khủng , ship thì con mắng ng nữa chứ 🥺",vải nóng nhận áo có mùi hôi kinh khủng ship con mắng chứ,pleading_face
Áo nhận dc trông k dc như mới 💯. Thấy có vết vạch trắng trắng trên áo nên hơi thất vọng nhẹ,áo nhận được trông không được như mới thấy có vết vạch trắng trắng trên áo nên hơi thất vọng nhẹ,100
Xinh lắm luôn ❤️❤️ ở ngoài đẹp hơn ảnh nhé. Khoá hơi khó kéo tí nhưng cx k sao,xinh lắm luôn ở ngoài đẹp hơn ảnh nhé khoá hơi khó kéo tí nhưng cũng không,heart heart
Mua giúp bạnnnn nênnnn chưa xem được chất lượng ạ 😢 tuy nhiênnnn vẫn sẽ ủng hộ shop vì giá rẻ 😬😬,mua giúp bạn nên chưa xem được chất lượng tuy nhiên vẫn sẽ ủng hộ vì giá rẻ,grimacing grimacing cry
"Dép dep lắm nha, giao nhanh, mua duoc giá rẻ, like like like 😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍",dép lắm giao nhanh mua giá rẻ like like like,heart_eyes heart_eyes heart_eyes heart_eyes heart_eyes heart_eyes heart_eyes heart_eyes heart_eyes heart_eyes heart_eyes heart_eyes heart_eyes heart_eyes heart_eyes heart_eyes heart_eyes heart_eyes heart_eyes heart_eyes heart_eyes heart_eyes heart_eyes heart_eyes heart_eyes heart_eyes
"giao hàng nhanh , đồ dễ thương lắm lunn ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️",giao hàng nhanh đồ dễ thương lắm luôn,heart heart heart heart heart heart heart heart heart heart heart heart
"Đồng hồ dễ thương quá đi ạ. Shop giao đúng hàng, đúng màu và nhanh, ship hàng nhanh. Yêu shop rồi 😘",đồng hồ dễ thương quá đi giao đúng hàng đúng màu nhanh ship hàng nhanh yêu,kissing_heart
"Quần đẹp lắm ạ, đóng gói sản phẩm chắc chắn nữa. Lần sau sẽ lại ủng hộ shop ạ 👍👍👍",quần đẹp lắm đóng gói sản phẩm chắc chắn lần sau sẽ ủng hộ,thumbsup thumbsup thumbsup
"K giốg lắm , do tưởg đâu ngay tay là nằm ở trc , ai ngờ nó nằm ngay đườg may , nhìn vào tui như 1 con heo quay 😭😭",không lắm do ngay tay là nằm ở ai ngờ nằm ngay may nhìn vào như con heo quay,sob sob
"Ae nào muốn mua hàng ngon xịn rẻ thì mua nhá
Hàng này quá đẹp so với giá tiền luôn😊",nào muốn mua hàng ngon xịn rẻ mua nhá hàng quá đẹp so giá tiền luôn,blush
"áo đẹp y hình. giao hàng quá lâu .................
...
...😎😚",áo đẹp y hình giao hàng quá lâu,kissing_closed_eyes sunglasses
